STORE,STORE_TYPE,Open Date,Sales,Location
1,S,28-Jul-84,123399.5845,"35.764274,-83.969812"
2,S,17-Apr-85,71429.06303,"38.553729,-90.320663"
3,S,5/7/1995,81573.68861,"33.979354,-88.473433"
4,S,14-Jul-92,163121.5799,"40.40126,-86.85747"
5,S,11/2/2004,121692.9747,"28.118499,-81.640427"
6,S,19801116,163033.1924,"29.487814,-98.507457"
7,S,19960828,46248.23127,"41.00496,-80.36968"
8,S,10/6/2000,149607.8379,"39.990662,-75.154879"
9,S,19990904,28224.91421,"37.967886,-90.053051"
10,S,20200725,62391.00304,"34.955446,-83.758289"
11,S,29-Jan-18,97815.48097,"34.272172,-118.787127"
12,S,5/2/1998,63976.90318,"37.99678,-88.92693"
13,S,8/29/1998,225996.8716,"35.376476,-118.94329"
14,S,19970806,119696.9759,"32.979099,-115.527578"
15,S,8/29/1997,221505.2399,"36.32684,-119.6556"
16,S,29-Aug-97,104324.3776,"32.768026,-117.030399"
17,S,19980210,142209.5684,"32.606365,-117.064975"
18,S,8-Jun-98,116821.8749,"34.120074,-116.431097"
19,S,16-Jul-97,159396.3156,"34.033207,-117.048895"
20,S,6-Aug-97,121396.1546,"34.13901,-117.975876"
21,S,19980616,146908.2431,"36.568256,-119.616419"
22,S,8/12/1997,135372.9191,"33.926802,-116.914524"
23,S,2/14/1998,249797.5171,"32.640493,-117.092895"
24,S,10-May-99,137389.157,"33.748029,-116.987884"
25,S,4/7/1998,118800.4137,"34.055794,-117.174451"
26,S,20000825,129139.818,"39.145618,-121.643686"
27,S,8/13/1998,202663.5983,"35.775529,-119.248033"
28,S,19980827,133413.109,"34.121723,-117.313183"
29,S,19980603,148653.0354,"34.12145,-117.27241"
30,S,7-Aug-98,121730.4321,"36.545925,-119.375908"
31,S,8/30/1998,186147.4,"34.107186,-117.429987"
32,S,10/3/1998,179051.7505,"34.470043,-117.330541"
33,S,11-Jul-98,187176.6945,"34.506295,-117.343171"
34,S,9-May-00,172392.1782,"34.559788,-118.045669"
35,S,8/28/1998,125324.1725,"36.066375,-119.042497"
36,S,20060131,92997.84864,"38.422242,-121.372302"
37,S,21-Apr-98,118390.315,"34.529337,-117.224504"
38,S,6/7/2000,162601.888,"33.033426,-116.881864"
39,S,8/26/1999,183379.7777,"34.03715,-117.74859"
40,S,19990616,142556.2311,"33.896476,-118.236981"
41,S,3/19/1999,218203.7885,"34.12112,-117.20816"
42,S,1-Jul-05,167749.3876,"36.606765,-121.847159"
43,S,4/16/1999,124229.8712,"33.800236,-118.314004"
44,S,1-Jul-98,176036.184,"34.417117,-118.472412"
45,S,22-Aug-98,131658.5899,"36.70073,-119.555097"
46,S,5/9/1998,140173.031,"34.072142,-118.031559"
47,S,27-Sep-98,126817.3956,"38.496535,-121.407628"
48,S,19980810,130372.5306,"37.672253,-121.031875"
49,S,20-Nov-04,68413.13408,"33.78766,-117.95814"
50,S,19980710,153092.8912,"34.085331,-117.313436"
51,S,9/4/1998,190459.84,"33.956565,-116.501025"
52,S,8/7/1998,63107.52783,"36.097527,-119.573716"
53,S,20051217,153568.48,"33.928968,-116.967137"
54,S,10/8/2003,102246.2141,"37.286735,-121.976312"
55,S,29-Jan-03,137104.7824,"33.628941,-117.70503"
56,S,20040306,138327.889,"34.12107,-117.48947"
57,S,2/17/1999,135037.6145,"36.735578,-119.742453"
58,S,20060927,158803.0379,"33.988608,-118.197111"
59,S,25-Apr-99,130857.7254,"38.671818,-121.32917"
60,S,17-Dec-98,105895.476,"33.872039,-117.906135"
61,S,2/4/1999,67763.18689,"43.16903,-77.70067"
62,S,5/3/2003,78921.76151,"33.430513,-117.618566"
63,S,5/7/2005,124667.7609,"37.464371,-122.141418"
64,S,7/2/2004,112075.1096,"38.26084,-122.033561"
65,S,19-Jun-99,162448.7354,"36.734136,-119.699459"
66,S,20040415,77937.77844,"37.602019,-122.391007"
67,S,11-Feb-06,127692.5104,"33.802147,-117.943539"
68,S,20031002,99212.10015,"37.991374,-122.305948"
69,S,20040508,170929.2231,"37.73867,-121.440079"
70,S,19991231,226838.4559,"33.839358,-117.915778"
71,S,19-Dec-03,112575.6499,"33.721985,-117.86758"
72,S,19991117,87522.77763,"39.720174,-121.8243"
73,S,19991023,80566.02277,"37.466291,-121.125348"
74,S,19991224,76801.00522,"40.566188,-122.387204"
75,S,20030210,152543.8979,"34.04086,-117.48543"
76,S,19990607,98383.98841,"34.077345,-117.669721"
77,S,20001016,77727.65422,"40.612101,-122.381808"
78,S,20040828,157154.608,"37.67356,-122.122519"
79,S,22-May-07,126047.0409,"38.427467,-122.740276"
80,S,8/19/2000,106184.563,"37.953985,-121.961068"
81,S,6/25/2000,177823.6898,"37.796244,-121.21678"
82,S,10/22/1999,134183.3429,"38.598194,-121.285719"
83,S,20030705,120943.4632,"37.352841,-121.966966"
84,S,8-Apr-04,74838.59729,"37.589235,-122.067149"
85,S,20001006,105667.1668,"40.568715,-122.352734"
86,S,2-Aug-00,124840.0651,"33.902369,-117.562862"
87,S,20060311,111636.9783,"36.778612,-119.861101"
88,S,24-Dec-00,165580.9032,"38.011303,-121.885341"
89,S,2/2/2002,134224.667,"33.831337,-118.268868"
90,S,30-Aug-01,121619.0264,"33.95579,-118.12826"
91,S,12-Mar-03,107943.3715,"32.842568,-116.984223"
92,S,3/1/2001,88499.39003,"37.985719,-122.068042"
93,S,20030510,131987.0676,"34.01844,-117.59332"
94,S,4/14/2002,171298.8435,"32.917481,-117.126746"
95,S,20030606,140727.8242,"38.452094,-122.750276"
96,S,7/21/2005,139232.6073,"34.92339,-120.4354"
97,S,28-Aug-03,131217.8607,"37.388384,-121.861758"
98,S,9/25/2002,87488.64301,"39.161235,-123.208871"
99,S,25-Apr-01,90041.73078,"37.792947,-122.200473"
100,S,5/29/2004,95002.7889,"35.270727,-120.669731"
101,S,30-Jun-05,176637.3157,"33.782859,-118.157009"
102,S,5/6/2006,121869.3872,"36.31957,-119.31442"
103,S,3/24/2007,164037.5354,"38.705573,-120.828452"
104,S,18-Apr-07,100090.3565,"32.770631,-115.551822"
105,S,20031122,121562.7798,"35.428528,-119.02257"
106,S,4/16/2004,122064.5889,"32.795387,-116.945622"
107,S,2/14/2004,94179.44997,"38.005759,-121.805262"
108,S,4/14/2004,98245.45626,"37.26019,-121.808997"
109,S,20040731,93893.0213,"37.263664,-121.876179"
110,S,6/11/2004,130217.8676,"33.712398,-117.88492"
111,S,20050316,140753.6819,"37.767273,-122.177884"
112,S,20040731,98506.45011,"33.809578,-118.106158"
113,S,20060113,111816.049,"35.174979,-106.567292"
114,S,3/3/2018,105103.7343,"33.987518,-118.330404"
115,S,10/23/2016,53798.68672,"38.461492,-121.821808"
116,S,28-Jul-16,108151.6833,"34.022968,-118.217703"
117,S,8/4/2017,66409.94586,"34.12841,-117.866991"
118,S,6-Jul-16,91077.8522,"38.678826,-121.226373"
119,S,8/22/2016,43988.21784,"37.637722,-120.772815"
120,S,20190808,107975.3312,"33.871954,-118.247828"
121,S,20161116,60753.44787,"36.3279,-121.247245"
122,S,21-Jul-17,121276.0491,"36.743478,-119.772781"
123,S,25-Aug-17,52359.53521,"34.824835,-114.596137"
124,S,5/7/2016,110613.4232,"36.750564,-120.387516"
125,S,10/10/2009,109128.2353,"37.111884,-120.272462"
126,S,7/18/2011,87639.49988,"39.204714,-122.00246"
127,S,4/14/2007,67344.81133,"36.311617,-119.207872"
128,S,20080308,92253.95575,"36.824933,-119.869774"
129,S,15-Dec-07,118642.0653,"33.96895,-118.1001"
130,S,20081008,147015.0573,"33.884975,-117.225737"
131,S,20160116,126314.1971,"33.887055,-118.161557"
132,S,20070210,136235.5883,"38.762722,-121.312831"
133,S,20070824,156082.2374,"36.694554,-121.597746"
134,S,1-May-09,117649.4429,"36.605264,-119.531081"
135,S,20080621,147130.0879,"36.980446,-120.074688"
136,S,20090507,86969.01151,"35.209468,-118.83449"
137,S,9-May-14,244395.4881,"34.5094,-117.399035"
138,S,20180824,115850.0957,"38.942962,-121.093938"
139,S,26-Nov-08,158192.6023,"36.706493,-119.735716"
140,S,23-Jun-07,75686.34398,"34.094485,-117.690848"
141,S,13-Sep-07,111733.5218,"34.09193,-117.29478"
142,S,7-Mar-08,194863.6279,"35.29489,-119.039548"
143,S,6/14/2008,84682.83828,"37.638672,-120.931849"
144,S,31-May-08,133522.8835,"38.619734,-121.47501"
145,S,2/25/2009,159843.4488,"34.06372,-117.43307"
146,S,4-Apr-09,119815.5106,"35.420158,-119.125344"
147,S,20090816,193167.7721,"37.300777,-121.866517"
148,S,5/8/2010,87870.70901,"38.23684,-122.63866"
149,S,8/15/2009,101939.3651,"38.345773,-122.711486"
150,S,3/12/2015,54130.7289,"40.412538,-120.63956"
151,S,8/5/2009,132373.9668,"33.890735,-117.520508"
152,S,19-Dec-09,145536.7567,"34.180703,-118.383883"
153,S,4/10/2010,81462.88706,"37.733081,-120.956729"
154,S,24-Aug-11,112062.3016,"38.455141,-121.372046"
155,S,20091219,100911.4601,"34.03207,-117.690741"
156,S,2/12/2010,113218.5285,"38.712696,-121.361625"
157,S,20140509,83770.80977,"35.636789,-120.693124"
158,S,20120130,92917.13387,"32.750248,-117.070072"
159,S,8-Nov-10,119153.7824,"38.18459,-122.253578"
160,S,25-Aug-12,109551.6253,"38.00218,-121.838566"
161,S,26-Aug-11,121234.7251,"36.981235,-122.010079"
162,S,11-Feb-12,243743.366,"34.137629,-117.453891"
163,S,27-Apr-10,104207.1721,"37.700745,-121.061638"
164,S,6/30/2010,166082.2289,"36.794324,-119.684033"
165,S,7/16/2011,122989.9691,"34.227619,-118.433412"
166,S,7/16/2011,208998.4387,"37.953803,-121.237267"
167,S,20100710,101333.4606,"33.693814,-117.955941"
168,S,20121020,100864.3362,"32.790662,-117.097733"
169,S,20100827,64981.66909,"33.171933,-117.252799"
170,S,5/6/2011,76785.11601,"36.85864,-120.458548"
171,S,8/26/2010,110949.9965,"38.885862,-121.292601"
172,S,8/13/2010,113769.5759,"33.888113,-117.868056"
173,S,20120807,65992.11404,"38.619509,-121.328813"
174,S,20110819,126243.2696,"37.113139,-121.643613"
175,S,20101111,131368.5363,"34.063486,-117.2238"
176,S,29-Dec-11,113824.3726,"33.791566,-117.992379"
177,S,5/7/2011,153184.964,"37.70697,-122.459856"
178,S,4/16/2011,155211.2913,"33.974205,-118.217345"
179,S,20120323,190661.0832,"34.428134,-117.347034"
180,S,20140215,81206.96809,"33.193402,-117.232461"
181,S,4/25/2011,63619.18452,"35.475367,-120.654303"
182,S,20131210,110290.5037,"35.892272,-119.271878"
183,S,7-Apr-12,139260.7608,"37.748506,-122.415693"
184,S,20120825,109233.4182,"33.68251,-117.920019"
185,S,20110808,109236.2577,"37.696427,-121.876514"
186,S,5/5/2012,93093.66721,"37.550429,-122.048463"
187,S,20130829,161139.9599,"33.959901,-118.25202"
188,S,20120616,76799.37401,"39.746941,-122.197089"
189,S,3-Jan-14,140621.1308,"37.356313,-121.889021"
190,S,20160412,72830.09252,"37.586593,-122.020604"
191,S,7-Dec-13,142464.4603,"37.957073,-122.038539"
192,S,23-Aug-12,130951.8524,"33.760393,-117.902291"
193,S,20120505,94321.00288,"34.380416,-118.539986"
194,S,6/28/2012,76681.86636,"32.822718,-117.100574"
195,S,24-Aug-12,104523.8688,"33.207084,-117.282765"
196,S,15-Jun-13,129343.7194,"34.259189,-118.467987"
197,S,5/3/2013,87346.54636,"38.746973,-121.272475"
198,S,3/28/2014,174787.0988,"33.959397,-117.593823"
199,S,8/29/2013,174044.5351,"33.913711,-118.191149"
200,S,11/8/2013,78590.50473,"40.164604,-122.228676"
201,S,23-Aug-12,144956.9516,"34.674508,-118.153766"
202,S,4/18/2013,152518.1006,"37.817157,-122.274824"
203,S,20140307,165618.844,"33.686268,-117.205487"
204,S,7/26/2013,102724.6424,"33.797505,-117.835127"
205,S,4/27/2013,116922.5871,"34.107906,-118.195315"
206,S,20130823,103362.2649,"38.424158,-121.447188"
207,S,4/3/2015,99796.73846,"37.962029,-121.750456"
208,S,5-Jan-18,80207.33747,"37.263,-121.917301"
209,S,6/15/2013,132012.6837,"37.638806,-122.056166"
210,S,11/22/2014,103714.5462,"33.95974,-118.32267"
211,S,13-Feb-14,78755.80083,"33.947395,-118.087324"
212,S,20160823,93719.8108,"33.897421,-118.326135"
213,S,20130724,99583.17058,"38.949615,-122.630161"
214,S,18-Mar-16,83665.74766,"32.842857,-115.568346"
215,S,11/21/2014,170198.7424,"37.318178,-120.469792"
216,S,6/6/2009,145705.3152,"32.971384,-96.331548"
217,S,12/27/2019,96103.7963,"38.645009,-121.457278"
218,S,5/7/2019,134115.6779,"33.729862,-116.973958"
219,S,20201103,139797.6107,"34.136199,-117.244504"
220,S,20190820,115594.4788,"33.998049,-117.058983"
221,S,30-Jun-17,121409.023,"29.849182,-95.214788"
222,S,6/12/2018,49441.05605,"36.625287,-119.324159"
223,S,19-Jul-19,64757.40771,"36.413194,-119.102946"
224,S,11-Aug-17,127113.4303,"34.435613,-119.826412"
225,S,1-Jul-17,96438.98007,"38.360029,-121.982063"
226,S,20141107,100380.1081,"39.765988,-86.197571"
227,S,3/9/2019,54281.82742,"34.865322,-120.420022"
228,S,12-Mar-11,145598.6219,"33.782269,-84.60811"
229,S,9-Mar-18,81346.46688,"33.741521,-117.820893"
230,S,17-Jun-20,106282.194,"34.520497,-117.983028"
231,S,2/6/2018,76887.64068,"37.976715,-121.803438"
232,S,28-Aug-21,94997.77444,"34.048496,-117.994765"
233,S,20210827,117416.0588,"34.135731,-117.333075"
234,S,22-Aug-21,70932.38931,"33.838808,-118.363255"
235,H,2/6/2020,141228.4853,"48.151443,-122.18512"
236,S,2/18/1999,205887.7786,"34.004593,-118.256851"
237,S,14-Feb-99,203796.8675,"34.071244,-118.291279"
238,S,2/12/1999,210021.8125,"33.974896,-118.301003"
239,S,19990318,143463.6076,"33.892159,-118.294412"
240,S,3-Feb-99,135062.3243,"37.608975,-120.96966"
241,S,19981223,168827.4372,"34.046406,-117.949134"
242,S,10-Feb-99,197248.0968,"37.741914,-122.169042"
243,S,2/8/1999,169201.77,"32.692937,-117.102777"
244,S,29-Jun-98,140550.2638,"39.756133,-121.862964"
245,S,29-Jun-98,114740.1468,"39.504897,-121.550339"
246,S,29-Jun-98,60181.43635,"39.769493,-121.611914"
247,S,29-Jun-98,98154.16883,"37.997574,-121.730076"
248,S,6/29/1998,186061.3082,"38.016476,-121.942269"
249,S,6/29/1998,107885.675,"37.934608,-122.356482"
250,S,29-Jun-98,70267.70081,"38.660844,-120.968279"
251,S,6/29/1998,121535.8951,"36.774427,-119.790121"
252,S,19980629,135754.9851,"36.750225,-119.753971"
253,S,6/29/1998,101638.9805,"36.771915,-119.753469"
254,S,19980629,104288.7931,"36.801097,-119.771999"
255,S,19980629,103790.3673,"36.808875,-119.717309"
256,S,29-Jun-98,115014.3716,"36.734636,-120.05841"
257,S,19980629,107074.1774,"36.603765,-119.439027"
258,S,6/29/1998,251493.9167,"32.67752,-115.499117"
259,S,6/29/1998,163450.9638,"35.35381,-119.02054"
260,S,6/29/1998,161544.3796,"35.317401,-119.021559"
261,S,19980629,169042.455,"35.383791,-119.095534"
262,S,19980629,106140.5807,"35.63878,-117.669267"
263,S,19980629,115826.0504,"35.122991,-118.467099"
264,S,29-Jun-98,87217.01608,"35.60116,-119.3517"
265,S,6/29/1998,175184.2082,"36.308355,-119.780249"
266,S,29-Jun-98,129882.8651,"34.087039,-118.135068"
267,S,6/29/1998,114783.4646,"34.246111,-118.447085"
268,S,29-Jun-98,152819.4518,"34.08602,-117.96589"
269,S,19980629,143118.0324,"34.066186,-117.970147"
270,S,29-Jun-98,173116.9194,"33.967328,-118.155405"
271,S,19980629,120587.2549,"34.178314,-118.33833"
272,S,29-Jun-98,261306.0772,"34.201537,-118.593783"
